"accession_ID"	"Sample"	"dataset"	"Developmental_ssGSEA"	"Injury_ssGSEA"	"Classical_ssGSEA"	"Mesenchymal_ssGSEA"	"Proneural_ssGSEA"	"Developmental_pval_ssGSEA"	"Injury_pval_ssGSEA"	"Classical_pval_ssGSEA"	"Mesenchymal_pval_ssGSEA"	"Proneural_pval_ssGSEA"	"Wang_2017"	"Richards_2021"
"GSM1638635"	"816_Rep_3"	"GSE67089"	1701.88061759979	-92.4828138570336	3258.06664347398	506.696158233116	764.215536818571	0.000999000999000999	1	0.000999000999000999	0.376623376623377	0.18981018981019	"CL"	"DEV"
"GSM1638636"	"83_Rep_1"	"GSE67089"	-961.151299050338	1270.28990576476	-1697.23191215541	1134.78075779436	-230.9348819936	1	0.000999000999000999	1	0.031968031968032	0.926073926073926	"MES"	"INJ"
"GSM1638637"	"83_Rep_2"	"GSE67089"	-1026.38173672653	1352.88357115754	-1570.85613880852	862.324587552534	-190.481393723356	1	0.000999000999000999	1	0.122877122877123	0.912087912087912	"MES"	"INJ"
"GSM1638638"	"83_Rep_3"	"GSE67089"	-913.887826549062	1581.20606953629	-1224.18472719653	1270.88380709257	252.89134533764	1	0.000999000999000999	1	0.012987012987013	0.605394605394605	"MES"	"INJ"
"GSM1638639"	"84_Rep_1"	"GSE67089"	1837.36288214586	-551.361728019293	2420.82804952619	-495.89534349699	744.005146405392	0.000999000999000999	1	0.000999000999000999	0.975024975024975	0.200799200799201	"CL"	"DEV"
"GSM1638640"	"84_Rep_2"	"GSE67089"	1774.54056705903	-364.150019520159	2459.92390874522	73.5630123438813	698.293509493177	0.000999000999000999	1	0.000999000999000999	0.753246753246753	0.236763236763237	"CL"	"DEV"
"GSM1638641"	"84_Rep_3"	"GSE67089"	1794.93490372059	-676.568993805226	1854.26819227387	-803.899879771999	1229.04718133304	0.000999000999000999	1	0.001998001998002	0.995004995004995	0.022977022977023	"CL"	"DEV"
"GSM1638642"	"AC17_Rep_1"	"GSE67089"	1585.049390119	-229.212520936969	1416.0409931211	136.853092820231	146.221930701706	0.000999000999000999	1	0.030969030969031	0.705294705294705	0.698301698301698	"CL"	"DEV"
"GSM1638643"	"AC17_Rep_2"	"GSE67089"	1505.58943925901	-129.013621908684	1589.42909553124	132.87528761446	186.851231478483	0.000999000999000999	1	0.00999000999000999	0.712287712287712	0.676323676323676	"CL"	"DEV"
"GSM1638644"	"AC17_Rep_3"	"GSE67089"	1724.08587973295	-298.449053603136	2166.96033073947	310.374434660791	1038.96353662575	0.000999000999000999	1	0.001998001998002	0.558441558441558	0.0599400599400599	"CL"	"DEV"
"GSM1638645"	"AC20_Rep_1"	"GSE67089"	1482.96916827449	-93.0456587977434	1293.69875435151	114.121141124153	-119.757537033396	0.000999000999000999	1	0.0569430569430569	0.722277722277722	0.882117882117882	"CL"	"DEV"
"GSM1638646"	"AC20_Rep_2"	"GSE67089"	1917.32284964826	-747.066800834094	2094.93055001604	-711.176216557829	968.10764849578	0.000999000999000999	1	0.001998001998002	0.992007992007992	0.0909090909090909	"CL"	"DEV"
"GSM1638647"	"AC20_Rep_3"	"GSE67089"	2020.9744304556	-560.310036349498	1615.67127632844	212.206764589243	1350.3375865723	0.000999000999000999	1	0.00899100899100899	0.646353646353646	0.013986013986014	"CL"	"DEV"
"GSM1638658"	"MD13_Rep_1"	"GSE67089"	-888.780991558005	1722.7812317743	-1246.29999441677	1445.43168192344	411.05127988726	1	0.000999000999000999	1	0.002997002997003	0.455544455544456	"MES"	"INJ"
"GSM1638659"	"MD13_Rep_2"	"GSE67089"	-833.180233426033	1677.79428927012	-1664.6272287481	1520.55286223187	92.0815509625327	1	0.000999000999000999	1	0.000999000999000999	0.741258741258741	"MES"	"INJ"
"GSM1638660"	"MD13_Rep_3"	"GSE67089"	-582.629567673805	1632.01711777459	-221.807978608043	1586.49083842704	620.292621834894	1	0.000999000999000999	0.983016983016983	0.000999000999000999	0.285714285714286	"MES"	"INJ"
