"Sample"	"Developmental"	"Injury"	"Classical"	"Mesenchymal"	"Proneural"	"Developmental_pval"	"Injury_pval"	"Classical_pval"	"Mesenchymal_pval"	"Proneural_pval"	"Wang_2017"	"Richards_2021"	"FOSL1"
"G564_L"	2204.21037804133	4648.68456329565	7234.59068159714	5489.87846053047	968.280662045077	1	0.000999000999000999	0.964035964035964	0.002997002997003	0.996003996003996	"MES"	"INJ"	12.9687162331814
"G566_L"	2249.51242855187	4765.89401969135	7360.98559034619	7286.41287428534	933.612305103321	1	0.000999000999000999	0.924075924075924	0.000999000999000999	0.997002997002997	"MES"	"INJ"	13.6784256377488
"G567_L"	2401.50473900698	4400.72991672924	6041.38440570808	7047.65099982178	1687.25823206271	1	0.000999000999000999	1	0.000999000999000999	0.739260739260739	"MES"	"INJ"	14.9271075909805
"G571_L"	2974.70142695747	3812.07638345954	7669.96371503938	5444.60998839149	1204.78984206494	1	0.000999000999000999	0.694305694305694	0.003996003996004	0.962037962037962	"MES"	"INJ"	13.292471769696
"G577_L"	3020.10395133729	3938.98455422571	7697.25020135312	4632.47530032477	554.529117212952	1	0.000999000999000999	0.662337662337662	0.120879120879121	1	"MES"	"INJ"	11.6474126844365
"G583_L"	2808.20346848326	4290.51892413783	6777.32524453614	6498.91559511315	3500.09946370615	1	0.000999000999000999	0.999000999000999	0.000999000999000999	0.000999000999000999	"MES"	"INJ"	12.8965629871639
"G584_L"	3189.78850625801	3778.61521508947	7577.92815320558	5257.5958022362	1920.03334255094	1	0.000999000999000999	0.785214785214785	0.00999000999000999	0.529470529470529	"MES"	"INJ"	11.0694975902126
"G594_L"	3194.30235902079	3684.92468365781	7503.56144953406	4091.43883854698	1508.33419818437	1	0.000999000999000999	0.849150849150849	0.447552447552448	0.854145854145854	"MES"	"INJ"	11.7315687979118
"G613_L"	3028.96296490388	3816.38553394653	7237.92487575608	5434.66562523377	1503.97394021724	1	0.000999000999000999	0.961038961038961	0.003996003996004	0.857142857142857	"MES"	"INJ"	12.8971059708779
"G620_L"	4611.52731076911	2471.96337033129	9281.87749566151	2384.83939495555	2195.76414775829	0.000999000999000999	1	0.000999000999000999	1	0.272727272727273	"CL"	"DEV"	10.2045058101249
"G637_L"	3847.22146470082	3163.15396796465	7819.52396279954	3367.86091086782	2160.04671915033	0.000999000999000999	0.998001998001998	0.494505494505495	0.923076923076923	0.305694305694306	"PN"	"DEV"	12.1029924538756
"G648_L"	4380.8358057433	2489.0187277856	8995.89614156047	2443.65470093658	1480.56251453017	0.000999000999000999	1	0.000999000999000999	1	0.867132867132867	"CL"	"DEV"	7.44897482219221
