Cells	Sample	Replicate	Normalizer	Gene	CT	Figure	Normalized
KSS49_7_KrasG12V	sgFosl1	Rep2	Gapdh	Cyr61	27.93	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep3	Gapdh	Cyr61	27.716	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep1	Gapdh	Actn1	27.597	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep2	Gapdh	Actn1	27.067	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep3	Gapdh	Actn1	27.384	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep1	Gapdh	S100a4	33.088	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep2	Gapdh	S100a4	32.606	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep3	Gapdh	S100a4	32.52	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep1	Gapdh	Vim	23.217	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep2	Gapdh	Vim	22.956	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep3	Gapdh	Vim	22.996	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep1	Gapdh	Cd44	26.674	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep2	Gapdh	Cd44	26.806	3E	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep3	Gapdh	Cd44	27.329	3E	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep1	Gapdh	Gapdh	19.093	3F	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep2	Gapdh	Gapdh	18.898	3F	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep3	Gapdh	Gapdh	18.926	3F	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep1	Gapdh	Olig2	24.496	3F	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep2	Gapdh	Olig2	24.353	3F	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep3	Gapdh	Olig2	24.065	3F	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep1	Gapdh	Ncam1	30.997	3F	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep2	Gapdh	Ncam1	30.853	3F	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep3	Gapdh	Ncam1	31.168	3F	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep1	Gapdh	Dll3	39.328	3F	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep2	Gapdh	Dll3	38.156	3F	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep3	Gapdh	Dll3	37.599	3F	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep1	Gapdh	Bcan	25.151	3F	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep2	Gapdh	Bcan	25.196	3F	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep3	Gapdh	Bcan	25.326	3F	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep1	Gapdh	Lgr5	25.718	3F	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep2	Gapdh	Lgr5	25.647	3F	FALSE
KSS49_7_KrasG12V	sgCtrl	Rep3	Gapdh	Lgr5	25.653	3F	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep1	Gapdh	Gapdh	19.931	3F	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep2	Gapdh	Gapdh	20.037	3F	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep3	Gapdh	Gapdh	19.878	3F	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep1	Gapdh	Olig2	23.521	3F	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep2	Gapdh	Olig2	23.399	3F	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep3	Gapdh	Olig2	23.358	3F	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep1	Gapdh	Ncam1	29.252	3F	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep2	Gapdh	Ncam1	29.608	3F	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep3	Gapdh	Ncam1	29.659	3F	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep1	Gapdh	Dll3	33.996	3F	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep2	Gapdh	Dll3	32.028	3F	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep3	Gapdh	Dll3	33.691	3F	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep1	Gapdh	Bcan	23.306	3F	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep2	Gapdh	Bcan	23.193	3F	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep3	Gapdh	Bcan	23.126	3F	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep1	Gapdh	Lgr5	25.558	3F	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep2	Gapdh	Lgr5	25.25	3F	FALSE
KSS49_7_KrasG12V	sgFosl1	Rep3	Gapdh	Lgr5	25.206	3F	FALSE
KSS49_7	Parental_DMSO	Rep1	Actin	Actin	18.553	S5D	FALSE
KSS49_7	Parental_DMSO	Rep2	Actin	Actin	18.659	S5D	FALSE
KSS49_7	Parental_DMSO	Rep3	Actin	Actin	18.86	S5D	FALSE
KSS49_7	Parental_DMSO	Rep1	Actin	Fosl1	29.412	S5D	FALSE
KSS49_7	Parental_DMSO	Rep2	Actin	Fosl1	29.414	S5D	FALSE
KSS49_7	Parental_DMSO	Rep3	Actin	Fosl1	29.405	S5D	FALSE
KSS49_7	Parental_DMSO	Rep1	Actin	Plau	30.931	S5D	FALSE
KSS49_7	Parental_DMSO	Rep2	Actin	Plau	30.507	S5D	FALSE
KSS49_7	Parental_DMSO	Rep3	Actin	Plau	30.802	S5D	FALSE
KSS49_7	Parental_DMSO	Rep1	Actin	Plaur	26.057	S5D	FALSE
KSS49_7	Parental_DMSO	Rep2	Actin	Plaur	26.204	S5D	FALSE
KSS49_7	Parental_DMSO	Rep3	Actin	Plaur	25.993	S5D	FALSE
KSS49_7	Parental_DMSO	Rep1	Actin	Timp1	25.886	S5D	FALSE
KSS49_7	Parental_DMSO	Rep2	Actin	Timp1	25.848	S5D	FALSE
KSS49_7	Parental_DMSO	Rep3	Actin	Timp1	25.793	S5D	FALSE
KSS49_7	Parental_DMSO	Rep1	Actin	Cd44	23.107	S5D	FALSE
KSS49_7	Parental_DMSO	Rep2	Actin	Cd44	23.034	S5D	FALSE
KSS49_7	Parental_DMSO	Rep3	Actin	Cd44	23.05	S5D	FALSE
KSS49_7	shNf1_DMSO	Rep1	Actin	Actin	19.397	S5D	FALSE
KSS49_7	shNf1_DMSO	Rep2	Actin	Actin	19.171	S5D	FALSE
KSS49_7	shNf1_DMSO	Rep3	Actin	Actin	19.505	S5D	FALSE
KSS49_7	shNf1_DMSO	Rep1	Actin	Fosl1	26.262	S5D	FALSE
KSS49_7	shNf1_DMSO	Rep2	Actin	Fosl1	26.353	S5D	FALSE
KSS49_7	shNf1_DMSO	Rep3	Actin	Fosl1	26.316	S5D	FALSE
KSS49_7	shNf1_DMSO	Rep1	Actin	Plau	29.106	S5D	FALSE
KSS49_7	shNf1_DMSO	Rep2	Actin	Plau	29.307	S5D	FALSE
KSS49_7	shNf1_DMSO	Rep3	Actin	Plau	28.987	S5D	FALSE
KSS49_7	shNf1_DMSO	Rep1	Actin	Plaur	24.869	S5D	FALSE
KSS49_7	shNf1_DMSO	Rep2	Actin	Plaur	24.797	S5D	FALSE
KSS49_7	shNf1_DMSO	Rep3	Actin	Plaur	24.794	S5D	FALSE
KSS49_7	shNf1_DMSO	Rep1	Actin	Timp1	23.083	S5D	FALSE
KSS49_7	shNf1_DMSO	Rep2	Actin	Timp1	23.093	S5D	FALSE
KSS49_7	shNf1_DMSO	Rep3	Actin	Timp1	23.094	S5D	FALSE
KSS49_7	shNf1_DMSO	Rep1	Actin	Cd44	22.526	S5D	FALSE
KSS49_7	shNf1_DMSO	Rep2	Actin	Cd44	22.386	S5D	FALSE
KSS49_7	shNf1_DMSO	Rep3	Actin	Cd44	22.269	S5D	FALSE
KSS49_7	KrasG12V_DMSO	Rep1	Actin	Actin	18.816	S5D	FALSE
KSS49_7	KrasG12V_DMSO	Rep2	Actin	Actin	18.964	S5D	FALSE
KSS49_7	KrasG12V_DMSO	Rep3	Actin	Actin	18.992	S5D	FALSE
KSS49_7	KrasG12V_DMSO	Rep1	Actin	Fosl1	26.166	S5D	FALSE
KSS49_7	KrasG12V_DMSO	Rep2	Actin	Fosl1	26.163	S5D	FALSE
KSS49_7	KrasG12V_DMSO	Rep3	Actin	Fosl1	26.086	S5D	FALSE
KSS49_7	KrasG12V_DMSO	Rep1	Actin	Plau	26.925	S5D	FALSE
KSS49_7	KrasG12V_DMSO	Rep2	Actin	Plau	26.905	S5D	FALSE
KSS49_7	KrasG12V_DMSO	Rep3	Actin	Plau	27.135	S5D	FALSE
KSS49_7	KrasG12V_DMSO	Rep1	Actin	Plaur	24.517	S5D	FALSE
KSS49_7	KrasG12V_DMSO	Rep2	Actin	Plaur	24.488	S5D	FALSE
KSS49_7	KrasG12V_DMSO	Rep3	Actin	Plaur	24.443	S5D	FALSE
KSS49_7	KrasG12V_DMSO	Rep1	Actin	Timp1	22.513	S5D	FALSE
KSS49_7	KrasG12V_DMSO	Rep2	Actin	Timp1	22.28	S5D	FALSE
KSS49_7	KrasG12V_DMSO	Rep3	Actin	Timp1	22.346	S5D	FALSE
KSS49_7	KrasG12V_DMSO	Rep1	Actin	Cd44	22.587	S5D	FALSE
KSS49_7	KrasG12V_DMSO	Rep2	Actin	Cd44	22.39	S5D	FALSE
KSS49_7	KrasG12V_DMSO	Rep3	Actin	Cd44	22.403	S5D	FALSE
KSS49_7	Parental_Trametinib	Rep1	Actin	Actin	18.659	S5D	FALSE
KSS49_7	Parental_Trametinib	Rep2	Actin	Actin	19.166	S5D	FALSE
KSS49_7	Parental_Trametinib	Rep3	Actin	Actin	18.818	S5D	FALSE
KSS49_7	Parental_Trametinib	Rep1	Actin	Fosl1	32.873	S5D	FALSE
KSS49_7	Parental_Trametinib	Rep2	Actin	Fosl1	32.922	S5D	FALSE
KSS49_7	Parental_Trametinib	Rep3	Actin	Fosl1	32.907	S5D	FALSE
KSS49_7	Parental_Trametinib	Rep1	Actin	Plau	30.877	S5D	FALSE
KSS49_7	Parental_Trametinib	Rep2	Actin	Plau	31.175	S5D	FALSE
KSS49_7	Parental_Trametinib	Rep3	Actin	Plau	30.925	S5D	FALSE
KSS49_7	Parental_Trametinib	Rep1	Actin	Plaur	29.154	S5D	FALSE
KSS49_7	Parental_Trametinib	Rep2	Actin	Plaur	29.123	S5D	FALSE
KSS49_7	Parental_Trametinib	Rep3	Actin	Plaur	29.222	S5D	FALSE
KSS49_7	Parental_Trametinib	Rep1	Actin	Timp1	28.946	S5D	FALSE
KSS49_7	Parental_Trametinib	Rep2	Actin	Timp1	28.695	S5D	FALSE
KSS49_7	Parental_Trametinib	Rep3	Actin	Timp1	28.806	S5D	FALSE
KSS49_7	Parental_Trametinib	Rep1	Actin	Cd44	24.95	S5D	FALSE
KSS49_7	Parental_Trametinib	Rep2	Actin	Cd44	24.876	S5D	FALSE
KSS49_7	Parental_Trametinib	Rep3	Actin	Cd44	24.958	S5D	FALSE
KSS49_7	shNf1_Trametinib	Rep1	Actin	Actin	18.981	S5D	FALSE
KSS49_7	shNf1_Trametinib	Rep2	Actin	Actin	19.011	S5D	FALSE
KSS49_7	shNf1_Trametinib	Rep3	Actin	Actin	19.013	S5D	FALSE
KSS49_7	shNf1_Trametinib	Rep1	Actin	Fosl1	30.392	S5D	FALSE
KSS49_7	shNf1_Trametinib	Rep2	Actin	Fosl1	30.327	S5D	FALSE
KSS49_7	shNf1_Trametinib	Rep3	Actin	Fosl1	30.544	S5D	FALSE
KSS49_7	shNf1_Trametinib	Rep1	Actin	Plau	30.015	S5D	FALSE
KSS49_7	shNf1_Trametinib	Rep2	Actin	Plau	29.943	S5D	FALSE
KSS49_7	shNf1_Trametinib	Rep3	Actin	Plau	30.151	S5D	FALSE
KSS49_7	shNf1_Trametinib	Rep1	Actin	Plaur	29.221	S5D	FALSE
KSS49_7	shNf1_Trametinib	Rep2	Actin	Plaur	28.95	S5D	FALSE
KSS49_7	shNf1_Trametinib	Rep3	Actin	Plaur	28.953	S5D	FALSE
KSS49_7	shNf1_Trametinib	Rep1	Actin	Timp1	26.214	S5D	FALSE
KSS49_7	shNf1_Trametinib	Rep2	Actin	Timp1	26.649	S5D	FALSE
KSS49_7	shNf1_Trametinib	Rep3	Actin	Timp1	26.469	S5D	FALSE
KSS49_7	shNf1_Trametinib	Rep1	Actin	Cd44	23.82	S5D	FALSE
KSS49_7	shNf1_Trametinib	Rep2	Actin	Cd44	23.825	S5D	FALSE
KSS49_7	shNf1_Trametinib	Rep3	Actin	Cd44	23.784	S5D	FALSE
KSS49_7	KrasG12V_Trametinib	Rep1	Actin	Actin	18.601	S5D	FALSE
KSS49_7	KrasG12V_Trametinib	Rep2	Actin	Actin	18.69	S5D	FALSE
KSS49_7	KrasG12V_Trametinib	Rep3	Actin	Actin	18.832	S5D	FALSE
KSS49_7	KrasG12V_Trametinib	Rep1	Actin	Fosl1	30.528	S5D	FALSE
KSS49_7	KrasG12V_Trametinib	Rep2	Actin	Fosl1	30.047	S5D	FALSE
KSS49_7	KrasG12V_Trametinib	Rep3	Actin	Fosl1	30.413	S5D	FALSE
KSS49_7	KrasG12V_Trametinib	Rep1	Actin	Plau	29.007	S5D	FALSE
KSS49_7	KrasG12V_Trametinib	Rep2	Actin	Plau	28.553	S5D	FALSE
KSS49_7	KrasG12V_Trametinib	Rep3	Actin	Plau	28.845	S5D	FALSE
KSS49_7	KrasG12V_Trametinib	Rep1	Actin	Plaur	28.032	S5D	FALSE
KSS49_7	KrasG12V_Trametinib	Rep2	Actin	Plaur	28.025	S5D	FALSE
KSS49_7	KrasG12V_Trametinib	Rep3	Actin	Plaur	28.118	S5D	FALSE
KSS49_7	KrasG12V_Trametinib	Rep1	Actin	Timp1	25.616	S5D	FALSE
KSS49_7	KrasG12V_Trametinib	Rep2	Actin	Timp1	25.699	S5D	FALSE
KSS49_7	KrasG12V_Trametinib	Rep3	Actin	Timp1	25.69	S5D	FALSE
KSS49_7	KrasG12V_Trametinib	Rep1	Actin	Cd44	23.653	S5D	FALSE
KSS49_7	KrasG12V_Trametinib	Rep2	Actin	Cd44	23.706	S5D	FALSE
KSS49_7	KrasG12V_Trametinib	Rep3	Actin	Cd44	23.586	S5D	FALSE
KSS49_7	Parental_U0126	Rep1	Actin	Actin	18.742	S5D	FALSE
KSS49_7	Parental_U0126	Rep2	Actin	Actin	18.933	S5D	FALSE
KSS49_7	Parental_U0126	Rep3	Actin	Actin	18.833	S5D	FALSE
KSS49_7	Parental_U0126	Rep1	Actin	Fosl1	31.02	S5D	FALSE
KSS49_7	Parental_U0126	Rep2	Actin	Fosl1	31.129	S5D	FALSE
KSS49_7	Parental_U0126	Rep3	Actin	Fosl1	30.792	S5D	FALSE
KSS49_7	Parental_U0126	Rep1	Actin	Plau	30.856	S5D	FALSE
KSS49_7	Parental_U0126	Rep2	Actin	Plau	30.602	S5D	FALSE
KSS49_7	Parental_U0126	Rep3	Actin	Plau	31.106	S5D	FALSE
KSS49_7	Parental_U0126	Rep1	Actin	Plaur	28.278	S5D	FALSE
KSS49_7	Parental_U0126	Rep2	Actin	Plaur	28.004	S5D	FALSE
KSS49_7	Parental_U0126	Rep3	Actin	Plaur	28.031	S5D	FALSE
KSS49_7	Parental_U0126	Rep1	Actin	Timp1	28.022	S5D	FALSE
KSS49_7	Parental_U0126	Rep2	Actin	Timp1	27.836	S5D	FALSE
KSS49_7	Parental_U0126	Rep3	Actin	Timp1	28.169	S5D	FALSE
KSS49_7	Parental_U0126	Rep1	Actin	Cd44	24.428	S5D	FALSE
KSS49_7	Parental_U0126	Rep2	Actin	Cd44	24.575	S5D	FALSE
KSS49_7	Parental_U0126	Rep3	Actin	Cd44	24.533	S5D	FALSE
KSS49_7	shNf1_U0126	Rep1	Actin	Actin	18.817	S5D	FALSE
KSS49_7	shNf1_U0126	Rep2	Actin	Actin	18.695	S5D	FALSE
KSS49_7	shNf1_U0126	Rep3	Actin	Actin	18.91	S5D	FALSE
KSS49_7	shNf1_U0126	Rep1	Actin	Fosl1	28.408	S5D	FALSE
KSS49_7	shNf1_U0126	Rep2	Actin	Fosl1	28.127	S5D	FALSE
KSS49_7	shNf1_U0126	Rep3	Actin	Fosl1	28.347	S5D	FALSE
KSS49_7	shNf1_U0126	Rep1	Actin	Plau	30.379	S5D	FALSE
KSS49_7	shNf1_U0126	Rep2	Actin	Plau	30.391	S5D	FALSE
KSS49_7	shNf1_U0126	Rep3	Actin	Plau	30.456	S5D	FALSE
KSS49_7	shNf1_U0126	Rep1	Actin	Plaur	27.321	S5D	FALSE
KSS49_7	shNf1_U0126	Rep2	Actin	Plaur	27.226	S5D	FALSE
KSS49_7	shNf1_U0126	Rep3	Actin	Plaur	27.168	S5D	FALSE
KSS49_7	shNf1_U0126	Rep1	Actin	Timp1	25.78	S5D	FALSE
KSS49_7	shNf1_U0126	Rep2	Actin	Timp1	26.008	S5D	FALSE
KSS49_7	shNf1_U0126	Rep3	Actin	Timp1	25.797	S5D	FALSE
KSS49_7	shNf1_U0126	Rep1	Actin	Cd44	23.245	S5D	FALSE
KSS49_7	shNf1_U0126	Rep2	Actin	Cd44	23.179	S5D	FALSE
KSS49_7	shNf1_U0126	Rep3	Actin	Cd44	23.194	S5D	FALSE
KSS49_7	KrasG12V_U0126	Rep1	Actin	Actin	18.93	S5D	FALSE
KSS49_7	KrasG12V_U0126	Rep2	Actin	Actin	18.789	S5D	FALSE
KSS49_7	KrasG12V_U0126	Rep3	Actin	Actin	18.945	S5D	FALSE
KSS49_7	KrasG12V_U0126	Rep1	Actin	Fosl1	28.282	S5D	FALSE
KSS49_7	KrasG12V_U0126	Rep2	Actin	Fosl1	28.282	S5D	FALSE
KSS49_7	KrasG12V_U0126	Rep3	Actin	Fosl1	28.207	S5D	FALSE
KSS49_7	KrasG12V_U0126	Rep1	Actin	Plau	29.73	S5D	FALSE
KSS49_7	KrasG12V_U0126	Rep2	Actin	Plau	29.737	S5D	FALSE
KSS49_7	KrasG12V_U0126	Rep3	Actin	Plau	29.338	S5D	FALSE
KSS49_7	KrasG12V_U0126	Rep1	Actin	Plaur	27.212	S5D	FALSE
KSS49_7	KrasG12V_U0126	Rep2	Actin	Plaur	27.037	S5D	FALSE
KSS49_7	KrasG12V_U0126	Rep3	Actin	Plaur	26.972	S5D	FALSE
KSS49_7	KrasG12V_U0126	Rep1	Actin	Timp1	25.329	S5D	FALSE
KSS49_7	KrasG12V_U0126	Rep2	Actin	Timp1	25.265	S5D	FALSE
KSS49_7	KrasG12V_U0126	Rep3	Actin	Timp1	25.28	S5D	FALSE
KSS49_7	KrasG12V_U0126	Rep1	Actin	Cd44	23.545	S5D	FALSE
KSS49_7	KrasG12V_U0126	Rep2	Actin	Cd44	23.553	S5D	FALSE
KSS49_7	KrasG12V_U0126	Rep3	Actin	Cd44	23.513	S5D	FALSE
KSS49_7_shNf1	sgCtrl	Rep1	Gapdh	Gapdh	27.292	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep2	Gapdh	Gapdh	27.149	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep3	Gapdh	Gapdh	27.021	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep1	Gapdh	Plaur	17.406	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep2	Gapdh	Plaur	17.435	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep3	Gapdh	Plaur	17.41	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep1	Gapdh	Plau	26.067	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep2	Gapdh	Plau	26.262	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep3	Gapdh	Plau	26.04	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep1	Gapdh	Timp1	23.645	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep2	Gapdh	Timp2	23.607	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep3	Gapdh	Timp3	23.209	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep1	Gapdh	Cd44	28.146	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep2	Gapdh	Cd44	27.924	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep3	Gapdh	Cd44	28.052	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep1	Gapdh	Itga7	21.655	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep2	Gapdh	Itga7	21.849	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep3	Gapdh	Itga7	21.868	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep1	Gapdh	Fn1	23.564	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep2	Gapdh	Fn1	23.497	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep3	Gapdh	Fn1	23.586	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep1	Gapdh	Cyr61	27.386	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep2	Gapdh	Cyr61	27.737	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep3	Gapdh	Cyr61	27.423	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep1	Gapdh	Gapdh	26.444	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep2	Gapdh	Gapdh	26.419	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep3	Gapdh	Gapdh	26.173	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep1	Gapdh	Plaur	17.317	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep2	Gapdh	Plaur	17.429	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep3	Gapdh	Plaur	17.228	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep1	Gapdh	Plau	26.375	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep2	Gapdh	Plau	26.424	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep3	Gapdh	Plau	26.766	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep1	Gapdh	Timp1	23.328	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep2	Gapdh	Timp2	23.035	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep3	Gapdh	Timp3	24.117	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep1	Gapdh	Cd44	27.241	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep2	Gapdh	Cd44	27.448	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep3	Gapdh	Cd44	27.189	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep1	Gapdh	Itga7	21.782	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep2	Gapdh	Itga7	21.689	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep3	Gapdh	Itga7	21.476	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep1	Gapdh	Fn1	23.511	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep2	Gapdh	Fn1	23.517	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep3	Gapdh	Fn1	23.829	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep1	Gapdh	Cyr61	28.691	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep2	Gapdh	Cyr61	28.979	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_1	Rep3	Gapdh	Cyr61	28.925	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep1	Gapdh	Gapdh	26.022	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep2	Gapdh	Gapdh	25.832	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep3	Gapdh	Gapdh	25.924	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep1	Gapdh	Plaur	17.67	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep2	Gapdh	Plaur	17.821	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep3	Gapdh	Plaur	17.53	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep1	Gapdh	Plau	26.271	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep2	Gapdh	Plau	26.226	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep3	Gapdh	Plau	26.476	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep1	Gapdh	Timp1	24.235	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep2	Gapdh	Timp2	23.683	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep3	Gapdh	Timp3	23.474	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep1	Gapdh	Cd44	27.074	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep2	Gapdh	Cd44	27.038	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep3	Gapdh	Cd44	27.021	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep1	Gapdh	Itga7	21.437	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep2	Gapdh	Itga7	21.715	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep3	Gapdh	Itga7	21.302	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep1	Gapdh	Fn1	23.332	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep2	Gapdh	Fn1	23.285	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep3	Gapdh	Fn1	23.427	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep1	Gapdh	Cyr61	27.686	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep2	Gapdh	Cyr61	27.721	S5G_left	FALSE
KSS49_7_shNf1	sgFosl1_3	Rep3	Gapdh	Cyr61	28.147	S5G_left	FALSE
KSS49_7_shNf1	sgCtrl	Rep1	Gapdh	Gapdh	17.407	S5G_right	FALSE
KSS49_7_shNf1	sgCtrl	Rep2	Gapdh	Gapdh	17.438	S5G_right	FALSE
KSS49_7_shNf1	sgCtrl	Rep3	Gapdh	Gapdh	17.352	S5G_right	FALSE
KSS49_7_shNf1	sgCtrl	Rep1	Gapdh	Dll3	31.875	S5G_right	FALSE
KSS49_7_shNf1	sgCtrl	Rep2	Gapdh	Dll3	31.917	S5G_right	FALSE
KSS49_7_shNf1	sgCtrl	Rep3	Gapdh	Dll3	32.763	S5G_right	FALSE
KSS49_7_shNf1	sgCtrl	Rep1	Gapdh	Lgr5	25.47	S5G_right	FALSE
KSS49_7_shNf1	sgCtrl	Rep2	Gapdh	Lgr5	25.424	S5G_right	FALSE
KSS49_7_shNf1	sgCtrl	Rep3	Gapdh	Lgr5	25.519	S5G_right	FALSE
KSS49_7_shNf1	sgCtrl	Rep1	Gapdh	Naan1	27.265	S5G_right	FALSE
KSS49_7_shNf1	sgCtrl	Rep2	Gapdh	Naan1	27.109	S5G_right	FALSE
KSS49_7_shNf1	sgCtrl	Rep3	Gapdh	Naan1	27.232	S5G_right	FALSE
