Cells	Sample	Replicate	Normalizer	Gene	CT	Figure	Normalized
BTSC 232	GRD+FOSL1	Rep1	18s	SERPINE1	23.783	2J	FALSE
BTSC 232	GRD+FOSL1	Rep2	18s	SERPINE1	23.907	2J	FALSE
BTSC 232	GRD+FOSL1	Rep3	18s	SERPINE1	23.916	2J	FALSE
BTSC 232	Ctrl+Ctrl	Rep1	18s	TNC	22.93	2J	FALSE
BTSC 232	Ctrl+Ctrl	Rep2	18s	TNC	22.871	2J	FALSE
BTSC 232	Ctrl+Ctrl	Rep3	18s	TNC	22.74	2J	FALSE
BTSC 232	Ctrl+FOSL1	Rep1	18s	TNC	22.176	2J	FALSE
BTSC 232	Ctrl+FOSL1	Rep2	18s	TNC	22.135	2J	FALSE
BTSC 232	Ctrl+FOSL1	Rep3	18s	TNC	22.12	2J	FALSE
BTSC 232	GRD+Ctrl	Rep1	18s	TNC	22.797	2J	FALSE
BTSC 232	GRD+Ctrl	Rep2	18s	TNC	22.75	2J	FALSE
BTSC 232	GRD+Ctrl	Rep3	18s	TNC	22.733	2J	FALSE
BTSC 232	GRD+FOSL1	Rep1	18s	TNC	22.543	2J	FALSE
BTSC 232	GRD+FOSL1	Rep2	18s	TNC	22.549	2J	FALSE
BTSC 232	GRD+FOSL1	Rep3	18s	TNC	22.549	2J	FALSE
BTSC 233	Ctrl+Ctrl	Rep1	18s	18s	11.596	2J	FALSE
BTSC 233	Ctrl+Ctrl	Rep2	18s	18s	11.354	2J	FALSE
BTSC 233	Ctrl+Ctrl	Rep3	18s	18s	11.453	2J	FALSE
BTSC 233	Ctrl+FOSL1	Rep1	18s	18s	11.519	2J	FALSE
BTSC 233	Ctrl+FOSL1	Rep2	18s	18s	11.476	2J	FALSE
BTSC 233	Ctrl+FOSL1	Rep3	18s	18s	11.383	2J	FALSE
BTSC 233	GRD+Ctrl	Rep1	18s	18s	11.533	2J	FALSE
BTSC 233	GRD+Ctrl	Rep2	18s	18s	11.422	2J	FALSE
BTSC 233	GRD+Ctrl	Rep3	18s	18s	11.505	2J	FALSE
BTSC 233	GRD+FOSL1	Rep1	18s	18s	11.944	2J	FALSE
BTSC 233	GRD+FOSL1	Rep2	18s	18s	11.668	2J	FALSE
BTSC 233	GRD+FOSL1	Rep3	18s	18s	11.931	2J	FALSE
BTSC 233	Ctrl+Ctrl	Rep1	18s	FOSL1	24.719	2J	FALSE
BTSC 233	Ctrl+Ctrl	Rep2	18s	FOSL1	24.274	2J	FALSE
BTSC 233	Ctrl+Ctrl	Rep3	18s	FOSL1	24.396	2J	FALSE
BTSC 233	Ctrl+FOSL1	Rep1	18s	FOSL1	18.384	2J	FALSE
BTSC 233	Ctrl+FOSL1	Rep2	18s	FOSL1	18.474	2J	FALSE
BTSC 233	Ctrl+FOSL1	Rep3	18s	FOSL1	18.349	2J	FALSE
BTSC 233	GRD+Ctrl	Rep1	18s	FOSL1	24.93	2J	FALSE
BTSC 233	GRD+Ctrl	Rep2	18s	FOSL1	24.679	2J	FALSE
BTSC 233	GRD+Ctrl	Rep3	18s	FOSL1	24.93	2J	FALSE
BTSC 233	GRD+FOSL1	Rep1	18s	FOSL1	19.797	2J	FALSE
BTSC 233	GRD+FOSL1	Rep2	18s	FOSL1	19.755	2J	FALSE
BTSC 233	GRD+FOSL1	Rep3	18s	FOSL1	19.632	2J	FALSE
BTSC 233	Ctrl+Ctrl	Rep1	18s	ITGA5	28.004	2J	FALSE
BTSC 233	Ctrl+Ctrl	Rep2	18s	ITGA5	27.778	2J	FALSE
BTSC 233	Ctrl+Ctrl	Rep3	18s	ITGA5	27.936	2J	FALSE
BTSC 233	Ctrl+FOSL1	Rep1	18s	ITGA5	27.09	2J	FALSE
BTSC 233	Ctrl+FOSL1	Rep2	18s	ITGA5	27.493	2J	FALSE
BTSC 233	Ctrl+FOSL1	Rep3	18s	ITGA5	27.094	2J	FALSE
BTSC 233	GRD+Ctrl	Rep1	18s	ITGA5	28.928	2J	FALSE
BTSC 233	GRD+Ctrl	Rep2	18s	ITGA5	28.703	2J	FALSE
BTSC 233	GRD+Ctrl	Rep3	18s	ITGA5	29.211	2J	FALSE
BTSC 233	GRD+FOSL1	Rep1	18s	ITGA5	28.611	2J	FALSE
BTSC 233	GRD+FOSL1	Rep2	18s	ITGA5	28.115	2J	FALSE
BTSC 233	GRD+FOSL1	Rep3	18s	ITGA5	28.511	2J	FALSE
BTSC 233	Ctrl+Ctrl	Rep1	18s	ITGA3	26.368	2J	FALSE
BTSC 233	Ctrl+Ctrl	Rep2	18s	ITGA3	26.197	2J	FALSE
BTSC 233	Ctrl+Ctrl	Rep3	18s	ITGA3	26.402	2J	FALSE
BTSC 233	Ctrl+FOSL1	Rep1	18s	ITGA3	25.922	2J	FALSE
BTSC 233	Ctrl+FOSL1	Rep2	18s	ITGA3	25.936	2J	FALSE
BTSC 233	Ctrl+FOSL1	Rep3	18s	ITGA3	25.784	2J	FALSE
BTSC 233	GRD+Ctrl	Rep1	18s	ITGA3	27.074	2J	FALSE
BTSC 233	GRD+Ctrl	Rep2	18s	ITGA3	26.952	2J	FALSE
BTSC 233	GRD+Ctrl	Rep3	18s	ITGA3	27.118	2J	FALSE
BTSC 233	GRD+FOSL1	Rep1	18s	ITGA3	26.529	2J	FALSE
BTSC 233	GRD+FOSL1	Rep2	18s	ITGA3	26.531	2J	FALSE
BTSC 233	GRD+FOSL1	Rep3	18s	ITGA3	26.465	2J	FALSE
BTSC 233	Ctrl+Ctrl	Rep1	18s	PLAU	29.416	2J	FALSE
BTSC 233	Ctrl+Ctrl	Rep2	18s	PLAU	29.24	2J	FALSE
BTSC 233	Ctrl+Ctrl	Rep3	18s	PLAU	29.263	2J	FALSE
BTSC 233	Ctrl+FOSL1	Rep1	18s	PLAU	29.603	2J	FALSE
BTSC 233	Ctrl+FOSL1	Rep2	18s	PLAU	29.7	2J	FALSE
BTSC 233	Ctrl+FOSL1	Rep3	18s	PLAU	29.636	2J	FALSE
BTSC 233	GRD+Ctrl	Rep1	18s	PLAU	29.837	2J	FALSE
BTSC 233	GRD+Ctrl	Rep2	18s	PLAU	29.765	2J	FALSE
BTSC 233	GRD+Ctrl	Rep3	18s	PLAU	29.929	2J	FALSE
BTSC 233	GRD+FOSL1	Rep1	18s	PLAU	30.365	2J	FALSE
BTSC 233	GRD+FOSL1	Rep2	18s	PLAU	30.407	2J	FALSE
BTSC 233	GRD+FOSL1	Rep3	18s	PLAU	30.49	2J	FALSE
BTSC 233	Ctrl+Ctrl	Rep1	18s	SERPINE1	22.251	2J	FALSE
BTSC 233	Ctrl+Ctrl	Rep2	18s	SERPINE1	22.096	2J	FALSE
BTSC 233	Ctrl+Ctrl	Rep3	18s	SERPINE1	22.21	2J	FALSE
BTSC 233	Ctrl+FOSL1	Rep1	18s	SERPINE1	21.961	2J	FALSE
BTSC 233	Ctrl+FOSL1	Rep2	18s	SERPINE1	21.944	2J	FALSE
BTSC 233	Ctrl+FOSL1	Rep3	18s	SERPINE1	21.925	2J	FALSE
BTSC 233	GRD+Ctrl	Rep1	18s	SERPINE1	22.793	2J	FALSE
BTSC 233	GRD+Ctrl	Rep2	18s	SERPINE1	22.802	2J	FALSE
BTSC 233	GRD+Ctrl	Rep3	18s	SERPINE1	22.833	2J	FALSE
BTSC 233	GRD+FOSL1	Rep1	18s	SERPINE1	22.276	2J	FALSE
BTSC 233	GRD+FOSL1	Rep2	18s	SERPINE1	22.37	2J	FALSE
BTSC 233	GRD+FOSL1	Rep3	18s	SERPINE1	22.311	2J	FALSE
BTSC 233	Ctrl+Ctrl	Rep1	18s	TNC	22.493	2J	FALSE
BTSC 233	Ctrl+Ctrl	Rep2	18s	TNC	22.347	2J	FALSE
BTSC 233	Ctrl+Ctrl	Rep3	18s	TNC	22.27	2J	FALSE
BTSC 233	Ctrl+FOSL1	Rep1	18s	TNC	21.924	2J	FALSE
BTSC 233	Ctrl+FOSL1	Rep2	18s	TNC	21.883	2J	FALSE
BTSC 233	Ctrl+FOSL1	Rep3	18s	TNC	21.869	2J	FALSE
BTSC 233	GRD+Ctrl	Rep1	18s	TNC	22.484	2J	FALSE
BTSC 233	GRD+Ctrl	Rep2	18s	TNC	22.409	2J	FALSE
BTSC 233	GRD+Ctrl	Rep3	18s	TNC	22.407	2J	FALSE
BTSC 233	GRD+FOSL1	Rep1	18s	TNC	22.085	2J	FALSE
BTSC 233	GRD+FOSL1	Rep2	18s	TNC	22.124	2J	FALSE
BTSC 233	GRD+FOSL1	Rep3	18s	TNC	22.142	2J	FALSE
BTSC 3021	shCtrl	Rep1	18s	FOSL1	1.093	2H	TRUE
BTSC 3021	shCtrl	Rep2	18s	FOSL1	0.979	2H	TRUE
BTSC 3021	shCtrl	Rep3	18s	FOSL1	0.926	2H	TRUE
BTSC 3021	shNF1_1	Rep1	18s	FOSL1	1.931	2H	TRUE
BTSC 3021	shNF1_1	Rep2	18s	FOSL1	1.786	2H	TRUE
BTSC 3021	shNF1_1	Rep3	18s	FOSL1	2.135	2H	TRUE
BTSC 3021	shNF1_5	Rep1	18s	FOSL1	1.767	2H	TRUE
BTSC 3021	shNF1_5	Rep2	18s	FOSL1	1.825	2H	TRUE
BTSC 3021	shNF1_5	Rep3	18s	FOSL1	1.619	2H	TRUE
BTSC 3047	shCtrl	Rep1	18s	FOSL1	1.091	2H	TRUE
BTSC 3047	shCtrl	Rep2	18s	FOSL1	0.901	2H	TRUE
BTSC 3047	shCtrl	Rep3	18s	FOSL1	1.007	2H	TRUE
BTSC 3047	shNF1_4	Rep1	18s	FOSL1	1.656	2H	TRUE
BTSC 3047	shNF1_4	Rep2	18s	FOSL1	1.64	2H	TRUE
BTSC 3047	shNF1_4	Rep3	18s	FOSL1	1.814	2H	TRUE
BTSC 3047	shNF1_5	Rep1	18s	FOSL1	1.657	2H	TRUE
BTSC 3047	shNF1_5	Rep2	18s	FOSL1	1.771	2H	TRUE
BTSC 3047	shNF1_5	Rep3	18s	FOSL1	1.877	2H	TRUE
BTSC 233	Ctrl	Rep1	18s	BHLHB2	1.164	S4H	TRUE
BTSC 233	Ctrl	Rep2	18s	BHLHB2	1.009	S4H	TRUE
BTSC 233	Ctrl	Rep3	18s	BHLHB2	0.827	S4H	TRUE
BTSC 233	GRD	Rep1	18s	BHLHB2	1.01	S4H	TRUE
BTSC 233	GRD	Rep2	18s	BHLHB2	1.322	S4H	TRUE
BTSC 233	GRD	Rep3	18s	BHLHB2	1.178	S4H	TRUE
BTSC 233	Ctrl	Rep1	18s	CEBPB	1.147	S4H	TRUE
BTSC 233	Ctrl	Rep2	18s	CEBPB	0.932	S4H	TRUE
BTSC 233	Ctrl	Rep3	18s	CEBPB	0.921	S4H	TRUE
BTSC 233	GRD	Rep1	18s	CEBPB	0.378	S4H	TRUE
BTSC 233	GRD	Rep2	18s	CEBPB	0.426	S4H	TRUE
BTSC 233	GRD	Rep3	18s	CEBPB	0.427	S4H	TRUE
BTSC 233	Ctrl	Rep1	18s	FOSL2	1.016	S4H	TRUE
BTSC 233	Ctrl	Rep2	18s	FOSL2	1.01	S4H	TRUE
BTSC 233	Ctrl	Rep3	18s	FOSL2	0.973	S4H	TRUE
BTSC 233	GRD	Rep1	18s	FOSL2	1.468	S4H	TRUE
BTSC 233	GRD	Rep2	18s	FOSL2	1.474	S4H	TRUE
BTSC 233	GRD	Rep3	18s	FOSL2	1.241	S4H	TRUE
BTSC 233	Ctrl	Rep1	18s	RUNX1	0.9	S4H	TRUE
BTSC 233	Ctrl	Rep2	18s	RUNX1	1.055	S4H	TRUE
BTSC 233	Ctrl	Rep3	18s	RUNX1	1.045	S4H	TRUE
BTSC 233	GRD	Rep1	18s	RUNX1	1.042	S4H	TRUE
BTSC 233	GRD	Rep2	18s	RUNX1	0.974	S4H	TRUE
BTSC 233	GRD	Rep3	18s	RUNX1	0.905	S4H	TRUE
BTSC 233	Ctrl	Rep1	18s	STAT3	1.046	S4H	TRUE
BTSC 233	Ctrl	Rep2	18s	STAT3	0.986	S4H	TRUE
BTSC 233	Ctrl	Rep3	18s	STAT3	0.968	S4H	TRUE
BTSC 233	GRD	Rep1	18s	STAT3	1.201	S4H	TRUE
BTSC 233	GRD	Rep2	18s	STAT3	1.295	S4H	TRUE
BTSC 233	GRD	Rep3	18s	STAT3	0.93	S4H	TRUE
BTSC 233	Ctrl	Rep1	18s	TAZ	1.039	S4H	TRUE
BTSC 233	Ctrl	Rep2	18s	TAZ	0.751	S4H	TRUE
BTSC 233	Ctrl	Rep3	18s	TAZ	1.209	S4H	TRUE
BTSC 233	GRD	Rep1	18s	TAZ	0.907	S4H	TRUE
BTSC 233	GRD	Rep2	18s	TAZ	0.978	S4H	TRUE
BTSC 233	GRD	Rep3	18s	TAZ	1.154	S4H	TRUE
BTSC 3021	shCtrl	Rep1	18s	BHLHB2	1.09	S4I	TRUE
BTSC 3021	shCtrl	Rep2	18s	BHLHB2	1.085	S4I	TRUE
BTSC 3021	shCtrl	Rep3	18s	BHLHB2	0.826	S4I	TRUE
BTSC 3021	shNF1	Rep1	18s	BHLHB2	0.985	S4I	TRUE
BTSC 3021	shNF1	Rep2	18s	BHLHB2	1.022	S4I	TRUE
