"zmean_diff"	"TFs"	"p_value"	"p_value_adjusted"	"TFs1"
"MA0486.2_HSF1"	-2.1821078751543	"HSF1"	0.167056052798965	0.320510579014379	"HSF1"
"MA0652.1_IRF8"	-4.64860138500908	"IRF8"	0.0699149724659352	0.182668020546836	"IRF8"
"MA0653.1_IRF9"	-1.58815565116687	"IRF9"	0.294163622028391	0.454796850243233	"IRF9"
"MA0654.1_ISX"	0.510188416949469	"ISX"	0.864571298817342	0.928383888085199	"ISX"
"MA0655.1_JDP2"	-6.84501947193391	"JDP2"	5.63882320167316e-05	0.00196057545165867	"JDP2"
"MA0656.1_JDP2(var.2)"	4.41936402570161	"JDP2(var.2)"	0.0573831437394459	0.15912380963331	"JDP2(var.2)"
"MA0657.1_KLF13"	-0.76877485787259	"KLF13"	0.647394671406406	0.778251041158765	"KLF13"
"MA0658.1_LHX6"	-0.737681531201222	"LHX6"	0.540374701299534	0.690157362589725	"LHX6"
"MA0659.1_MAFG"	4.08963273808176	"MAFG"	0.0085977021168887	0.0427050698553153	"MAFG"
"MA0660.1_MEF2B"	-1.17162600717842	"MEF2B"	0.345811535957953	0.509142717436465	"MEF2B"
"MA0661.1_MEOX1"	2.53183307345057	"MEOX1"	0.101302080143312	0.230093166958678	"MEOX1"
"MA0662.1_MIXL1"	-1.02738173101352	"MIXL1"	0.142680709860942	0.29050306692408	"MIXL1"
"MA0663.1_MLX"	6.72232423543477	"MLX"	0.12005533890621	0.261730520709422	"MLX"
"MA0664.1_MLXIPL"	8.00237531862566	"MLXIPL"	0.123711497155624	0.26433599134539	"MLXIPL"
"MA0665.1_MSC"	-0.266682918927367	"MSC"	0.672365581208282	0.797041155411351	"MSC"
"MA0666.1_MSX1"	0.0954452701443611	"MSX1"	0.89195918538291	0.937101585885845	"MSX1"
"MA0667.1_MYF6"	0.641831364533802	"MYF6"	0.455607827232368	0.616571071583923	"MYF6"
"MA0668.1_NEUROD2"	1.61803635232152	"NEUROD2"	0.112653381036129	0.249604550138875	"NEUROD2"
"MA0669.1_NEUROG2"	-0.140638053070968	"NEUROG2"	0.973739112816929	0.979391237938725	"NEUROG2"
"MA0670.1_NFIA"	-1.70725385036944	"NFIA"	0.268066487535955	0.432923946884041	"NFIA"
"MA0671.1_NFIX"	-1.02681314405916	"NFIX"	0.242559150761859	0.409018512554403	"NFIX"
"MA0048.2_NHLH1"	-0.897024432490146	"NHLH1"	0.729398925660687	0.845354652304181	"NHLH1"
"MA0672.1_NKX2-3"	-0.749646344565494	"NKX2-3"	0.262664348084823	0.429176209057553	"NKX2-3"
"MA0673.1_NKX2-8"	-3.43233547428869	"NKX2-8"	0.00527507752006592	0.0326621238228739	"NKX2-8"
"MA0674.1_NKX6-1"	0.254815883200279	"NKX6-1"	0.864711541778471	0.928383888085199	"NKX6-1"
"MA0675.1_NKX6-2"	1.30063771040808	"NKX6-2"	0.372989522714301	0.53521036275195	"NKX6-2"
"MA0678.1_OLIG2"	0.705708319283909	"OLIG2"	0.540521474240625	0.690157362589725	"OLIG2"
"MA0679.1_ONECUT1"	2.96921642330474	"ONECUT1"	0.155825883302162	0.310278851332939	"ONECUT1"
"MA0068.2_PAX4"	0.126373645177307	"PAX4"	0.915281039398198	0.951050643236749	"PAX4"
"MA0680.1_PAX7"	1.85848954454926	"PAX7"	0.19676873046366	0.355757864678297	"PAX7"
"MA0683.1_POU4F2"	-0.641853376037698	"POU4F2"	0.441937611800591	0.605389591531681	"POU4F2"
"MA0684.1_RUNX3"	-6.75956836272854	"RUNX3"	0.001319153842752	0.0135513076573615	"RUNX3"
"MA0685.1_SP4"	7.56640485523333	"SP4"	0.228791608831728	0.396221483494027	"SP4"
"MA0686.1_SPDEF"	-1.57308257441095	"SPDEF"	0.277341324846044	0.440540626791521	"SPDEF"
"MA0080.4_SPI1"	-0.932154076378053	"SPI1"	0.657010294868048	0.783877559402214	"SPI1"
"MA0687.1_SPIC"	-0.48941448551775	"SPIC"	0.861257477780473	0.928383888085199	"SPIC"
"MA0083.3_SRF"	-1.52436115440678	"SRF"	0.18297612544538	0.336200035371186	"SRF"
"MA0009.2_T"	1.46393041387203	"T"	0.306075325105151	0.468969650669588	"T"
"MA0688.1_TBX2"	1.4220084553948	"TBX2"	0.248764931521962	0.414914203128881	"TBX2"
"MA0689.1_TBX20"	1.56061650754474	"TBX20"	0.1204423635123	0.261730520709422	"TBX20"
"MA0690.1_TBX21"	2.08986509309684	"TBX21"	0.243420309462687	0.409018512554403	"TBX21"
"MA0090.2_TEAD1"	-2.86756985126649	"TEAD1"	0.0717924623139873	0.183334423536284	"TEAD1"
"MA0691.1_TFAP4"	-2.67653167756996	"TFAP4"	0.00254410429464191	0.0223326532642014	"TFAP4"
"MA0145.3_TFCP2"	-0.0878906023093573	"TFCP2"	0.969393212592427	0.978048509133431	"TFCP2"
"MA0692.1_TFEB"	9.54271428692194	"TFEB"	0.0656401538877967	0.175558281404048	"TFEB"
"MA0694.1_ZBTB7B"	-0.183454465295399	"ZBTB7B"	0.620103388840597	0.757298191621243	"ZBTB7B"
"MA0695.1_ZBTB7C"	-0.217200078301453	"ZBTB7C"	0.643208467628435	0.775280606314807	"ZBTB7C"
"MA0696.1_ZIC1"	4.26244207001685	"ZIC1"	0.074535842916436	0.187167783323495	"ZIC1"
"MA0697.1_ZIC3"	5.33406749849792	"ZIC3"	0.00271746887064397	0.0223326532642014	"ZIC3"
"MA0698.1_ZBTB18"	1.28211392215747	"ZBTB18"	0.0911333588350508	0.217948561870069	"ZBTB18"
"MA0699.1_LBX2"	1.76069877354051	"LBX2"	0.0968270931313281	0.223295133139593	"LBX2"
"MA0700.1_LHX2"	1.85002004677857	"LHX2"	0.312924465043603	0.473049692975614	"LHX2"
"MA0701.1_LHX9"	1.74802293095948	"LHX9"	0.317211502892117	0.476344183744974	"LHX9"
"MA0702.1_LMX1A"	0.610314296216491	"LMX1A"	0.76320097695162	0.864578550331158	"LMX1A"
"MA0703.1_LMX1B"	0.370931864341539	"LMX1B"	0.793623351452502	0.883541268119535	"LMX1B"
"MA0706.1_MEOX2"	-2.00414075630789	"MEOX2"	0.0415318814229392	0.125989331564889	"MEOX2"
"MA0707.1_MNX1"	2.63647074000477	"MNX1"	0.133544736094901	0.276890920710529	"MNX1"
"MA0708.1_MSX2"	-3.84739908653636	"MSX2"	0.00263066899590341	0.0223326532642014	"MSX2"
"MA0122.2_NKX3-2"	-3.78313897764376	"NKX3-2"	0.0227216447647477	0.0790014110281996	"NKX3-2"
